radial_frequency,Interp,E18 DataConsistency SR,ResShift SR
0.004419417382422172,0.003909819242895891,0.0012685639188014916,0.0012667533696638978
0.013258252147266517,0.003983262506653309,0.00036934296992233146,0.00036905957375439114
0.02209708691211086,0.003983254662077742,0.00034333730313360723,0.0003430890871299515
0.030935921676955205,0.003980208484965188,0.0003420407005153071,0.0003417913401616925
0.03977475644179955,0.003907362432644502,0.0003266550161716112,0.00032640719979672096
0.048613591206643894,0.00386916649349803,0.00032767741847700957,0.0003273968643638584
0.05745242597148824,0.0038288067557501154,0.0003263101051582674,0.0003260154939583439
0.06629126073633258,0.003697078455861107,0.00032783472305089015,0.00032753313001238413
0.07513009550117693,0.0036028507925238823,0.00032388180510143803,0.0003235737241418038
0.08396893026602127,0.003540103658474742,0.00032394564149107225,0.0003236224451576054
0.09280776503086562,0.003451243369646123,0.0003203043192788965,0.00031999126599296446
0.10164659979570996,0.003278913485722865,0.0003217396720798277,0.0003214578431074055
0.1104854345605543,0.0031231975238306185,0.00031785833732391383,0.0003175843318022295
0.11932426932539865,0.0030113613669156387,0.0003170261748677152,0.0003167616514741702
0.128163104090243,0.002893514005361032,0.0003200113284935265,0.00031977715370181493
0.13700193885508732,0.0027471473354609005,0.00032018526453987754,0.0003199628669929073
0.1458407736199317,0.0025980499507779887,0.00032062584688884757,0.00032039980099772964
0.154679608384776,0.002464556898551382,0.00031769252538200505,0.00031748066572409773
0.16351844314962038,0.0023461739844804685,0.0003174171452254941,0.00031721255047008356
0.1723572779144647,0.0021868916458581524,0.0003159607351704171,0.0003157692021448193
0.18119611267930907,0.0020686256341712434,0.0003169743808562576,0.00031680602694113063
0.1900349474441534,0.0019553521985810848,0.000315066283215148,0.00031491653260057334
0.19887378220899776,0.0018434712175837654,0.00031193525801837224,0.00031180835215798664
0.20771261697384208,0.0017342362812777497,0.0003091019590059922,0.00030898385660036945
0.21655145173868645,0.0016419267289372514,0.00030858460658016195,0.00030848151113821394
0.22539028650353077,0.001537359914362047,0.0003087665716491525,0.0003086755730694037
0.23422912126837514,0.0014412265507690485,0.0003075639180804049,0.00030748964849543084
0.24306795603321946,0.0013617464035639423,0.0003087187166612994,0.0003086590829629449
0.25190679079806383,0.0012813076026572461,0.0003055040036563188,0.00030546315602638215
0.26074562556290815,0.0012044117787631682,0.0003001160072981471,0.00030008327396027973
0.2695844603277525,0.0011417251069083124,0.0002990419610236543,0.00029902740198744447
0.27842329509259683,0.0010913802957608783,0.0002990941682065585,0.00029909952173824575
0.2872621298574412,0.0010417714876104433,0.0002934717307439204,0.00029348738068510496
0.2961009646222855,0.0010060182195549552,0.0002901993196503452,0.0002902147032320871
0.3049397993871299,0.0009760119042937389,0.000288272116012225,0.0002883118269164345
0.3137786341519742,0.0009527838229643131,0.00028649501701425334,0.0002865272037242515
0.3226174689168186,0.0009476722527766846,0.00028328710611147726,0.0002833313189935687
0.3314563036816629,0.0009354612898744591,0.0002788636811948473,0.00027892013726909647
0.3402951384465073,0.0009307690939536078,0.0002741309488365805,0.0002741866551492639
0.3491339732113516,0.0009317337550404618,0.0002702524303958021,0.00027031714197073997
0.35797280797619596,0.0009365911724225832,0.00026717214177650876,0.0002672390511768068
0.3668116427410403,0.0009462656815967022,0.0002608361064274213,0.0002609001995131145
0.37565047750588465,0.0009627203254496078,0.00025846761129261344,0.0002585339268353782
0.38448931227072897,0.0009808748885231982,0.0002550951987310869,0.00025516389522415526
0.39332814703557334,0.0010057807305889688,0.0002496888616053371,0.00024975084220385155
0.40216698180041766,0.0010324014763356925,0.00024695427759268513,0.0002470094125587305
0.411005816565262,0.0010568006376364617,0.00024490172733476057,0.00024497518889394896
